"table_column_name","description"
S010001,TOTAL: Occupied households// 1. All present residents// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010002,In households// 1. All present residents// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010003,In households// 1. All present residents// Males// Persons// Persons present plus absent residents in private households
S010004,In households// 1. All present residents// Females// Persons// Persons present plus absent residents in private households
S010005,Not in households// 1. All present residents// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010006,Not in households// 1. All present residents// Males// Persons// Persons present plus absent residents in private households
S010007,Not in households// 1. All present residents// Females// Persons// Persons present plus absent residents in private households
S010008,TOTAL: Occupied households// 2. All Absent residents (part of household present)// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010009,In households// 2. All Absent residents (part of household present)// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010010,In households// 2. All Absent residents (part of household present)// Males// Persons// Persons present plus absent residents in private households
S010011,In households// 2. All Absent residents (part of household present)// Females// Persons// Persons present plus absent residents in private households
S010015,TOTAL: Occupied households// 3. All visitors// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010016,In households// 3. All visitors// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010017,In households// 3. All visitors// Males// Persons// Persons present plus absent residents in private households
S010018,In households// 3. All visitors// Females// Persons// Persons present plus absent residents in private households
S010019,Not in households// 3. All visitors// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010020,Not in households// 3. All visitors// Males// Persons// Persons present plus absent residents in private households
S010021,Not in households// 3. All visitors// Females// Persons// Persons present plus absent residents in private households
S010022,TOTAL: Occupied households// Resident in UK// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010023,In households// Resident in UK// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010024,In households// Resident in UK// Males// Persons// Persons present plus absent residents in private households
S010025,In households// Resident in UK// Females// Persons// Persons present plus absent residents in private households
S010026,Not in households// Resident in UK// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010027,Not in households// Resident in UK// Males// Persons// Persons present plus absent residents in private households
S010028,Not in households// Resident in UK// Females// Persons// Persons present plus absent residents in private households
S010029,TOTAL: Occupied households// Resident outside UK// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010030,In households// Resident outside UK// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010031,In households// Resident outside UK// Males// Persons// Persons present plus absent residents in private households
S010032,In households// Resident outside UK// Females// Persons// Persons present plus absent residents in private households
S010033,Not in households// Resident outside UK// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010034,Not in households// Resident outside UK// Males// Persons// Persons present plus absent residents in private households
S010035,Not in households// Resident outside UK// Females// Persons// Persons present plus absent residents in private households
S010036,TOTAL: Occupied households// 1971 BASE (1 + 3)// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010037,In households// 1971 BASE (1 + 3)// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010038,In households// 1971 BASE (1 + 3)// Males// Persons// Persons present plus absent residents in private households
S010039,In households// 1971 BASE (1 + 3)// Females// Persons// Persons present plus absent residents in private households
S010040,Not in households// 1971 BASE (1 + 3)// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010041,Not in households// 1971 BASE (1 + 3)// Males// Persons// Persons present plus absent residents in private households
