INDICATOR SUMMARY STATISTICS (1981)
================================================================================

                    indicator  non_null_count        mean          std      min           max
               TOTAL_RES_1981            1053 1246.851852 13656.037390 0.000000 437663.000000
                PCT_MALE_1981            1053   47.944615     9.508695 0.000000    100.000000
              PCT_FEMALE_1981            1053   50.725851     9.701368 0.000000    100.000000
            CHINESE_BORN_1981            1053    6.782526    77.147525 0.000000   2380.000000
       CHINESE_BORN_MALE_1981            1053    4.283951    49.526235 0.000000   1505.000000
     CHINESE_BORN_FEMALE_1981            1053    2.498575    27.849426 0.000000    875.000000
        PCT_CHINESE_BORN_1981            1053    0.760155     3.133515 0.000000     64.285714
            ALL_EMPLOYED_1981            1053  275.874644  3022.761017 0.000000  96836.000000
                EMP_RATE_1981            1053   21.724384     5.868928 0.000000     51.612903
                TOTAL_HH_1981            1053  467.245964  5117.556140 0.000000 164009.000000
            OWNER_OCC_HH_1981            1053  167.967711  1851.255058 0.000000  58963.000000
           PCT_OWNER_OCC_1981            1053   34.027100    32.304050 0.000000    100.000000
          SOCIAL_RENT_HH_1981            1053    0.857550     9.658456 0.000000    302.000000
         PCT_SOCIAL_RENT_1981            1053    0.188449     0.723260 0.000000     10.843373
               NO_CAR_HH_1981            1053  282.412156  3092.750764 0.000000  99126.000000
              PCT_NO_CAR_1981            1053   57.604384    21.216100 0.000000     97.849462
     CAR_OWNERSHIP_INDEX_1981            1053   42.395616    21.216100 2.150538    100.000000
         OVERCROWD_GT1P5_1981            1053    5.437797    59.847931 0.000000   1909.000000
     PCT_OVERCROWD_GT1P5_1981            1053    1.162124     1.695115 0.000000     25.000000
        OVERCROWD_1TO1P5_1981            1053   21.147198   231.584360 0.000000   7413.000000
    PCT_OVERCROWD_1TO1P5_1981            1053    4.274372     3.204565 0.000000     21.774194
           NO_BATH_OR_WC_1981            1053   15.345679   172.694031 0.000000   5385.000000
       PCT_NO_BATH_OR_WC_1981            1053    3.277104     6.947559 0.000000     61.349693
    NO_INSIDE_BATH_OR_WC_1981            1053    5.432099    61.501278 0.000000   1911.000000
PCT_NO_INSIDE_BATH_OR_WC_1981            1053    1.205642     3.828061 0.000000     43.571429

Total EDs: 1053
Total indicators computed: 25
