zoneid,TOTAL_RES_1981,PCT_MALE_1981,PCT_FEMALE_1981,CHINESE_BORN_1981,CHINESE_BORN_MALE_1981,CHINESE_BORN_FEMALE_1981,PCT_CHINESE_BORN_1981,ALL_EMPLOYED_1981,EMP_RATE_1981,TOTAL_HH_1981,OWNER_OCC_HH_1981,PCT_OWNER_OCC_1981,SOCIAL_RENT_HH_1981,PCT_SOCIAL_RENT_1981,NO_CAR_HH_1981,PCT_NO_CAR_1981,CAR_OWNERSHIP_INDEX_1981,OVERCROWD_GT1P5_1981,PCT_OVERCROWD_GT1P5_1981,OVERCROWD_1TO1P5_1981,PCT_OVERCROWD_1TO1P5_1981,NO_BATH_OR_WC_1981,PCT_NO_BATH_OR_WC_1981,NO_INSIDE_BATH_OR_WC_1981,PCT_NO_INSIDE_BATH_OR_WC_1981
03BN      ,437663.0,48.631481299538684,51.368518700461316,2380.0,1505.0,875.0,0.5437973966270852,96836.0,22.125699453689254,164009.0,58963.0,35.95107585559329,302.0,0.1841362364260498,99126.0,60.43936613234639,39.56063386765361,1909.0,1.1639605143620166,7413.0,4.519873909358632,5385.0,3.2833564011731062,1911.0,1.1651799596363615
03BNAA    ,15205.0,51.1147648799737,48.8852351200263,143.0,89.0,54.0,0.9404801052285432,3758.0,24.715554094048013,5846.0,3351.0,57.32124529592883,0.0,0.0,2583.0,44.18405747519672,55.81594252480328,108.0,1.8474170372904548,174.0,2.976394115634622,22.0,0.376325692781389,0.0,0.0
03BNAB    ,14573.0,49.811294860358196,50.1887051396418,34.0,17.0,17.0,0.23330817264804776,2648.0,18.17058944623619,5387.0,194.0,3.601262298125116,12.0,0.22275849266753298,4321.0,80.21162056803416,19.788379431965836,94.0,1.7449415258956749,383.0,7.1097085576387595,76.0,1.4108037868943755,49.0,0.9095971783924262
03BNAC    ,17612.0,47.40517828753123,52.59482171246878,27.0,15.0,12.0,0.15330456506927095,3982.0,22.609584374290257,6585.0,1256.0,19.073652239939257,3.0,0.04555808656036447,3659.0,55.56567957479119,44.43432042520881,49.0,0.7441154138192863,253.0,3.84206529992407,14.0,0.21260440394836752,2.0,0.030372057706909643
03BNAD    ,12802.0,46.93797844086862,53.06202155913139,61.0,23.0,38.0,0.476488048742384,2838.0,22.168411185752227,5081.0,1229.0,24.188151938594764,4.0,0.0787246604999016,2869.0,56.465262743554426,43.534737256445574,81.0,1.5941743751230073,165.0,3.2473922456209405,54.0,1.0627829167486715,29.0,0.5707537886242866
03BNAE    ,8681.0,51.503283031908765,48.496716968091235,57.0,37.0,20.0,0.6566063817532543,1635.0,18.834235687132818,3287.0,181.0,5.506540918770916,12.0,0.36507453605111045,2668.0,81.16823851536356,18.831761484636445,47.0,1.4298752662001823,194.0,5.902038332826286,131.0,3.9853970185579555,30.0,0.9126863401277762
03BNAF    ,13810.0,47.255611875452566,52.74438812454743,12.0,7.0,5.0,0.08689355539464157,3130.0,22.664735698769007,5425.0,1676.0,30.89400921658986,3.0,0.05529953917050691,3403.0,62.72811059907835,37.27188940092165,36.0,0.663594470046083,206.0,3.7972350230414746,33.0,0.6082949308755761,5.0,0.09216589861751152
03BNAG    ,16408.0,48.482447586543145,51.51755241345685,39.0,22.0,17.0,0.23768893222818138,3581.0,21.82471964895173,6111.0,2469.0,40.40255277368679,43.0,0.7036491572574047,4180.0,68.40124365897562,31.598756341024384,52.0,0.8509245622647684,323.0,5.2855506463753885,769.0,12.583865161184749,290.0,4.745540828015055
03BNAH    ,15546.0,46.88665894763926,53.11334105236074,24.0,13.0,11.0,0.1543805480509456,3610.0,23.221407435996397,5869.0,1468.0,25.01277900834895,0.0,0.0,3049.0,51.95092860794003,48.04907139205997,24.0,0.4089282671664679,196.0,3.3395808485261544,6.0,0.10223206679161698,1.0,0.01703867779860283
03BNAJ    ,14544.0,46.58278327832783,53.41721672167217,38.0,15.0,23.0,0.2612761276127613,3352.0,23.047304730473048,5372.0,2317.0,43.131049888309754,3.0,0.05584512285927029,2809.0,52.28965003723008,47.71034996276992,38.0,0.7073715562174236,207.0,3.85331347728965,23.0,0.4281459419210722,9.0,0.16753536857781087
03BNAK    ,11753.0,46.847613375308434,53.15238662469157,13.0,5.0,8.0,0.11061005700672168,2662.0,22.649536288607163,4692.0,1152.0,24.55242966751918,7.0,0.14919011082693948,2998.0,63.89599317988065,36.10400682011935,30.0,0.639386189258312,147.0,3.1329923273657285,11.0,0.23444160272804776,3.0,0.0639386189258312
03BNAL    ,11089.0,49.73397060149698,50.26602939850302,181.0,110.0,71.0,1.632248173865993,2278.0,20.542880331860403,3674.0,1730.0,47.087642896026125,5.0,0.1360914534567229,2386.0,64.94284158954817,35.057158410451834,87.0,2.367991290146979,269.0,7.321720195971693,116.0,3.1573217201959713,8.0,0.21774632553075668
03BNAM    ,13689.0,48.557235736722916,51.442764263277084,38.0,18.0,20.0,0.2775951493900212,3568.0,26.064723500620936,5620.0,3425.0,60.94306049822064,4.0,0.0711743772241993,2680.0,47.686832740213525,52.313167259786475,45.0,0.800711743772242,101.0,1.797153024911032,84.0,1.4946619217081851,56.0,0.99644128113879
03BNAN    ,5512.0,55.13425253991292,44.865747460087086,17.0,10.0,7.0,0.3084179970972424,1055.0,19.140058055152394,1875.0,80.0,4.266666666666667,3.0,0.16,1478.0,78.82666666666667,21.173333333333332,35.0,1.866666666666667,103.0,5.493333333333333,18.0,0.96,35.0,1.866666666666667
03BNAP    ,17793.0,47.839037823863315,52.160962176136685,15.0,7.0,8.0,0.08430281571404484,3601.0,20.238295959085033,6228.0,770.0,12.363519588953114,6.0,0.09633911368015415,3852.0,61.849710982658955,38.150289017341045,68.0,1.0918432883750802,373.0,5.98908156711625,11.0,0.17662170841361594,3.0,0.04816955684007707
03BNAQ    ,14658.0,47.53035884841042,52.46964115158958,28.0,14.0,14.0,0.19102196752626552,3451.0,23.543457497612224,5583.0,3477.0,62.27834497581946,4.0,0.07164606842199533,3004.0,53.8061973849185,46.1938026150815,75.0,1.3433637829124128,152.0,2.7225506000358233,157.0,2.812108185563317,50.0,0.8955758552749419
03BNAR    ,14558.0,46.840225305673854,53.159774694326146,44.0,19.0,25.0,0.3022393185877181,3744.0,25.71781838164583,5823.0,4163.0,71.49235789112142,2.0,0.03434655675768504,2068.0,35.51433968744633,64.48566031255368,24.0,0.41215868109222054,86.0,1.4769019405804569,56.0,0.9617035892151812,40.0,0.6869311351537009
03BNAS    ,11181.0,48.492979161076825,51.50702083892318,14.0,10.0,4.0,0.12521241391646543,2657.0,23.763527412574902,4299.0,2300.0,53.50081414282391,10.0,0.23261223540358222,2757.0,64.13119330076762,35.86880669923238,17.0,0.3954408001860898,174.0,4.047452896022331,456.0,10.60711793440335,138.0,3.2100488485694347
03BNAT    ,11177.0,48.61769705645522,51.38230294354478,24.0,15.0,9.0,0.21472667084190747,2594.0,23.208374340162834,4142.0,1699.0,41.01883148237566,14.0,0.3380009657170449,2647.0,63.90632544664413,36.09367455335587,32.0,0.772573635924674,182.0,4.394012554321583,259.0,6.253017865765331,151.0,3.6455818445195556
