ED_CODE,JOIN_KEY,SAS04_BIRTH_FE
H1981F00017973,H1981F00017973,0
H1981F00017974,H1981F00017974,0
H1981F00017975,H1981F00017975,0
H1981F00017976,H1981F00017976,0
H1981F00017977,H1981F00017977,0
H1981F00017978,H1981F00017978,0
H1981F00017979,H1981F00017979,0
H1981F00017980,H1981F00017980,0
H1981F00017981,H1981F00017981,0
H1981F00017982,H1981F00017982,0
H1981F00017983,H1981F00017983,0
H1981F00017984,H1981F00017984,0
H1981F00017985,H1981F00017985,0
H1981F00017986,H1981F00017986,0
H1981F00017987,H1981F00017987,0
H1981F00017988,H1981F00017988,0
H1981F00017989,H1981F00017989,0
H1981F00017990,H1981F00017990,0
H1981F00017991,H1981F00017991,0
H1981F00017992,H1981F00017992,0
H1981F00017993,H1981F00017993,0
H1981F00017994,H1981F00017994,0
H1981F00017995,H1981F00017995,0
H1981F00017996,H1981F00017996,0
H1981F00017997,H1981F00017997,0
H1981F00017998,H1981F00017998,0
H1981F00017999,H1981F00017999,0
H1981F00018000,H1981F00018000,0
H1981F00018001,H1981F00018001,0
H1981F00018002,H1981F00018002,0
H1981F00018003,H1981F00018003,0
H1981F00018004,H1981F00018004,0
H1981F00018005,H1981F00018005,0
H1981F00018006,H1981F00018006,0
H1981F00018007,H1981F00018007,0
H1981F00018008,H1981F00018008,0
H1981F00018009,H1981F00018009,0
H1981F00018010,H1981F00018010,0
H1981F00018011,H1981F00018011,0
H1981F00018012,H1981F00018012,0
H1981F00018013,H1981F00018013,0
H1981F00018014,H1981F00018014,0
H1981F00018015,H1981F00018015,0
H1981F00018016,H1981F00018016,0
H1981F00018017,H1981F00018017,0
H1981F00018018,H1981F00018018,0
H1981F00018019,H1981F00018019,0
H1981F00018020,H1981F00018020,0
H1981F00018021,H1981F00018021,0
H1981F00018022,H1981F00018022,0
H1981F00018023,H1981F00018023,0
H1981F00018024,H1981F00018024,0
H1981F00018025,H1981F00018025,0
H1981F00018026,H1981F00018026,0
H1981F00018027,H1981F00018027,0
H1981F00018028,H1981F00018028,0
H1981F00018029,H1981F00018029,0
H1981F00018030,H1981F00018030,0
H1981F00018031,H1981F00018031,0
H1981F00018032,H1981F00018032,0
H1981F00018033,H1981F00018033,0
H1981F00018034,H1981F00018034,0
H1981F00018035,H1981F00018035,0
H1981F00018036,H1981F00018036,0
H1981F00018037,H1981F00018037,0
H1981F00018038,H1981F00018038,0
H1981F00018039,H1981F00018039,0
H1981F00018040,H1981F00018040,0
H1981F00018041,H1981F00018041,0
H1981F00018042,H1981F00018042,0
H1981F00018043,H1981F00018043,0
H1981F00018044,H1981F00018044,0
H1981F00018045,H1981F00018045,0
H1981F00018046,H1981F00018046,0
H1981F00018047,H1981F00018047,0
H1981F00018048,H1981F00018048,0
H1981F00018049,H1981F00018049,0
H1981F00018050,H1981F00018050,0
H1981F00018051,H1981F00018051,0
H1981F00018052,H1981F00018052,0
H1981F00018053,H1981F00018053,0
H1981F00018054,H1981F00018054,0
H1981F00018055,H1981F00018055,0
H1981F00018056,H1981F00018056,0
H1981F00018057,H1981F00018057,0
H1981F00018058,H1981F00018058,0
H1981F00018059,H1981F00018059,0
H1981F00018060,H1981F00018060,0
H1981F00018061,H1981F00018061,0
H1981F00018062,H1981F00018062,0
H1981F00018063,H1981F00018063,0
H1981F00018064,H1981F00018064,0
H1981F00018065,H1981F00018065,0
H1981F00018066,H1981F00018066,0
H1981F00018067,H1981F00018067,0
H1981F00018068,H1981F00018068,0
H1981F00018069,H1981F00018069,0
H1981F00018070,H1981F00018070,0
H1981F00018071,H1981F00018071,0
H1981F00018072,H1981F00018072,0
H1981F00018073,H1981F00018073,0
H1981F00018074,H1981F00018074,0
H1981F00018075,H1981F00018075,0
H1981F00018076,H1981F00018076,0
H1981F00018077,H1981F00018077,0
H1981F00018078,H1981F00018078,0
H1981F00018079,H1981F00018079,0
H1981F00018080,H1981F00018080,0
H1981F00018081,H1981F00018081,0
H1981F00018082,H1981F00018082,0
H1981F00018083,H1981F00018083,0
H1981F00018084,H1981F00018084,0
H1981F00018085,H1981F00018085,0
H1981F00018086,H1981F00018086,0
H1981F00018087,H1981F00018087,0
H1981F00018088,H1981F00018088,0
H1981F00018089,H1981F00018089,0
H1981F00018090,H1981F00018090,0
H1981F00018091,H1981F00018091,0
H1981F00018092,H1981F00018092,0
H1981F00018093,H1981F00018093,0
H1981F00018094,H1981F00018094,0
H1981F00018095,H1981F00018095,0
H1981F00018096,H1981F00018096,0
H1981F00018097,H1981F00018097,0
H1981F00018098,H1981F00018098,0
H1981F00018099,H1981F00018099,0
H1981F00018100,H1981F00018100,0
H1981F00018101,H1981F00018101,0
H1981F00018102,H1981F00018102,0
H1981F00018103,H1981F00018103,0
H1981F00018104,H1981F00018104,0
H1981F00018105,H1981F00018105,0
H1981F00018106,H1981F00018106,0
H1981F00018107,H1981F00018107,0
H1981F00018108,H1981F00018108,0
H1981F00018109,H1981F00018109,0
H1981F00018110,H1981F00018110,0
H1981F00018111,H1981F00018111,0
H1981F00018112,H1981F00018112,0
H1981F00018113,H1981F00018113,0
H1981F00018114,H1981F00018114,0
H1981F00018115,H1981F00018115,0
H1981F00018116,H1981F00018116,0
H1981F00018117,H1981F00018117,0
H1981F00018118,H1981F00018118,0
H1981F00018119,H1981F00018119,0
H1981F00018120,H1981F00018120,0
H1981F00018121,H1981F00018121,0
H1981F00018122,H1981F00018122,0
H1981F00018123,H1981F00018123,0
H1981F00018124,H1981F00018124,0
H1981F00018125,H1981F00018125,0
H1981F00018126,H1981F00018126,0
H1981F00018127,H1981F00018127,0
H1981F00018128,H1981F00018128,0
H1981F00018129,H1981F00018129,0
H1981F00018130,H1981F00018130,0
H1981F00018131,H1981F00018131,0
H1981F00018132,H1981F00018132,0
H1981F00018133,H1981F00018133,0
H1981F00018134,H1981F00018134,0
H1981F00018135,H1981F00018135,0
H1981F00018136,H1981F00018136,0
H1981F00018137,H1981F00018137,0
H1981F00018138,H1981F00018138,0
H1981F00018139,H1981F00018139,0
H1981F00018140,H1981F00018140,0
H1981F00018141,H1981F00018141,0
H1981F00018142,H1981F00018142,0
H1981F00018143,H1981F00018143,0
H1981F00018144,H1981F00018144,0
H1981F00018145,H1981F00018145,0
H1981F00018146,H1981F00018146,0
H1981F00018147,H1981F00018147,0
H1981F00018148,H1981F00018148,0
H1981F00018149,H1981F00018149,0
H1981F00018150,H1981F00018150,0
H1981F00018151,H1981F00018151,0
H1981F00018152,H1981F00018152,0
H1981F00018153,H1981F00018153,0
H1981F00018154,H1981F00018154,0
H1981F00018155,H1981F00018155,0
H1981F00018156,H1981F00018156,0
H1981F00018157,H1981F00018157,0
H1981F00018158,H1981F00018158,0
H1981F00018159,H1981F00018159,0
H1981F00018160,H1981F00018160,0
H1981F00018161,H1981F00018161,0
H1981F00018162,H1981F00018162,0
H1981F00018163,H1981F00018163,0
H1981F00018164,H1981F00018164,0
H1981F00018165,H1981F00018165,0
H1981F00018166,H1981F00018166,0
H1981F00018167,H1981F00018167,0
H1981F00018168,H1981F00018168,0
H1981F00018169,H1981F00018169,0
H1981F00018170,H1981F00018170,0
H1981F00018171,H1981F00018171,0
H1981F00018172,H1981F00018172,0
H1981F00018173,H1981F00018173,0
H1981F00018174,H1981F00018174,0
H1981F00018175,H1981F00018175,0
H1981F00018176,H1981F00018176,0
H1981F00018177,H1981F00018177,0
H1981F00018178,H1981F00018178,0
H1981F00018179,H1981F00018179,0
H1981F00018180,H1981F00018180,0
H1981F00018181,H1981F00018181,0
H1981F00018182,H1981F00018182,0
H1981F00018183,H1981F00018183,0
H1981F00018184,H1981F00018184,0
H1981F00018185,H1981F00018185,0
H1981F00018186,H1981F00018186,0
H1981F00018187,H1981F00018187,0
H1981F00018188,H1981F00018188,0
H1981F00018189,H1981F00018189,0
H1981F00018190,H1981F00018190,0
H1981F00018191,H1981F00018191,0
H1981F00018192,H1981F00018192,0
H1981F00018193,H1981F00018193,0
H1981F00018194,H1981F00018194,0
H1981F00018195,H1981F00018195,0
H1981F00018196,H1981F00018196,0
H1981F00018197,H1981F00018197,0
H1981F00018198,H1981F00018198,0
H1981F00018199,H1981F00018199,0
H1981F00018200,H1981F00018200,0
H1981F00018201,H1981F00018201,0
H1981F00018202,H1981F00018202,0
H1981F00018203,H1981F00018203,0
H1981F00018204,H1981F00018204,0
H1981F00018205,H1981F00018205,0
H1981F00018206,H1981F00018206,0
H1981F00018207,H1981F00018207,0
H1981F00018208,H1981F00018208,0
H1981F00018209,H1981F00018209,0
H1981F00018210,H1981F00018210,0
