zoneid,81sas040320,81sas040321,81sas040322,81sas040323,81sas040324,81sas040325,81sas040326,81sas040327,81sas040328,81sas040329,81sas040330,81sas040331,81sas040332,81sas040333,81sas040334,81sas040335,81sas040336,81sas040337,81sas040338,81sas040339,81sas040340,81sas040341,81sas040342,81sas040343,81sas040344,81sas040345,81sas040346,81sas040347,81sas040348,81sas040349,81sas040350,81sas040351,81sas040352,81sas040353,81sas040354,81sas040355,81sas040356,81sas040357,81sas040358,81sas040359,81sas040360,81sas040361,81sas040362,81sas040363,81sas040364,81sas040365,81sas040366,81sas040367,81sas040368,81sas040369,81sas040370,81sas040371,81sas040372,81sas040373,81sas040374,81sas040375,81sas040376,81sas040377,81sas040378,81sas040379
03BN      ,437663,212842,224821,373007,178527,194480,7571,3927,3644,3408,1583,1825,4637,2375,2262,18135,9114,9021,692,358,334,15562,8806,6756,1312,708,604,1499,994,505,6263,3302,2961,2742,1500,1242,607,387,220,2380,1505,875,622,337,285,137,73,64,4975,2684,2291,2181,919,1262,2474,1299,1175,5021,3250,1771
03BNAA    ,15206,7777,7429,10619,5267,5352,334,178,156,192,98,94,151,79,72,633,314,319,44,18,26,1402,804,598,116,65,51,83,58,25,584,322,262,388,216,172,12,9,3,143,89,54,52,34,18,24,11,13,694,369,325,198,95,103,422,214,208,517,341,176
03BNAB    ,14571,7256,7315,11322,5455,5867,352,194,158,88,44,44,213,123,90,1299,712,587,15,8,7,854,476,378,32,19,13,105,72,33,533,270,263,72,46,26,58,42,16,34,17,17,18,9,9,2,1,1,216,117,99,33,15,18,39,27,12,140,85,55
03BNAC    ,17613,8349,9264,16192,7665,8527,283,153,130,147,66,81,152,74,78,478,210,268,29,11,18,166,90,76,9,3,6,16,11,5,66,37,29,32,16,16,0,0,0,27,15,12,15,7,8,1,1,0,5,3,2,70,26,44,36,19,17,55,32,23
03BNAD    ,12799,6010,6789,10667,4956,5711,256,121,135,144,59,85,156,74,82,617,288,329,31,19,12,350,173,177,44,23,21,42,30,12,93,43,50,81,40,41,1,1,0,61,23,38,20,11,9,8,2,6,67,38,29,107,43,64,92,38,54,312,201,111
03BNAE    ,8683,4466,4217,7561,3719,3842,174,121,53,48,27,21,125,68,57,314,209,105,7,6,1,258,166,92,20,10,10,82,59,23,73,43,30,15,8,7,2,2,0,57,37,20,9,7,2,0,0,0,16,10,6,17,6,11,16,10,6,147,124,23
03BNAF    ,13810,6523,7287,12843,6055,6788,180,86,94,79,30,49,84,41,43,306,137,169,12,6,6,77,46,31,9,4,5,6,5,1,13,10,3,25,14,11,1,1,0,12,7,5,11,5,6,0,0,0,8,3,5,46,15,31,55,27,28,120,77,43
03BNAG    ,16408,7955,8453,15342,7399,7943,178,99,79,68,41,27,177,93,84,352,168,184,13,6,7,147,81,66,13,5,8,12,6,6,49,27,22,21,13,8,0,0,0,39,22,17,13,8,5,0,0,0,13,6,7,53,23,30,28,17,11,37,22,15
03BNAH    ,15544,7288,8256,14283,6668,7615,243,124,119,139,64,75,127,63,64,410,202,208,26,11,15,116,64,52,10,7,3,7,6,1,27,18,9,32,12,20,0,0,0,24,13,11,11,6,5,5,2,3,17,10,7,76,22,54,42,21,21,65,39,26
03BNAJ    ,14543,6775,7768,12623,5837,6786,245,117,128,141,63,78,144,73,71,803,377,426,33,22,11,264,127,137,48,26,22,24,12,12,36,18,18,76,35,41,15,7,8,38,15,23,26,14,12,1,0,1,113,65,48,37,16,21,46,22,24,94,56,38
