zoneid,81sas070615,81sas070616,81sas070617,81sas070618,81sas070619,81sas070620,81sas070621,81sas070622,81sas070623,81sas070624,81sas070625,81sas070626,81sas070627,81sas070628,81sas070629,81sas070630,81sas070631,81sas070632,81sas070633,81sas070634,81sas070635,81sas070636,81sas070637,81sas070638,81sas070639,81sas070640,81sas070641
03BN      ,96836,31800,41874,4685,1687,217,20077,4468,5362,63075,24967,34631,6173,507,1100,2826,171,564,87837,31122,40210,85349,25940,18995,2488,5182,21215
03BNAA    ,3758,1193,1417,169,67,11,996,226,286,1935,847,1026,429,42,64,229,11,30,3100,1140,1324,2991,1014,785,109,126,539
03BNAB    ,2648,993,1115,150,28,5,337,76,108,1999,870,985,112,13,9,50,6,8,2486,975,1098,2422,768,497,64,207,601
03BNAC    ,3982,1325,1930,206,108,8,898,223,266,2633,981,1632,175,9,18,70,4,6,3738,1313,1906,3647,1103,879,91,210,1027
03BNAD    ,2838,1411,1100,150,139,9,645,305,152,1745,933,879,195,25,35,103,9,25,2540,1378,1040,2456,1191,487,84,187,553
03BNAE    ,1635,555,647,83,44,1,213,63,66,1253,440,563,75,6,11,11,2,6,1549,546,632,1498,431,273,51,115,359
03BNAF    ,3130,1036,1413,143,37,7,618,127,172,2114,846,1199,182,19,27,73,7,8,2874,1010,1378,2779,809,609,95,201,769
03BNAG    ,3581,1007,1597,167,45,8,526,83,132,2653,857,1386,179,16,50,56,6,21,3346,987,1524,3261,788,707,85,199,817
03BNAH    ,3610,1061,1688,166,49,3,973,147,226,2143,848,1408,183,10,22,145,7,29,3280,1045,1637,3192,849,711,88,196,926
03BNAJ    ,3352,1088,1562,172,53,8,793,146,205,2049,868,1268,229,15,58,109,6,23,3015,1065,1482,2921,888,676,94,177,806
03BNAK    ,2662,883,1195,139,55,4,553,102,137,1772,722,1017,134,4,26,64,0,11,2463,880,1159,2390,738,509,73,142,650
03BNAL    ,2278,675,857,96,41,7,349,71,104,1594,539,699,163,17,37,76,7,10,2039,650,810,1987,533,402,52,117,408
03BNAM    ,3568,1271,1487,137,50,3,958,275,266,2043,909,1141,291,27,47,139,10,30,3139,1232,1410,3051,1092,800,88,140,610
03BNAN    ,1055,367,405,33,22,0,197,64,58,729,270,307,60,7,19,36,4,21,958,356,365,933,308,172,25,48,193
03BNAP    ,3601,1084,1628,166,45,7,715,111,208,2494,924,1390,162,4,8,64,0,15,3376,1081,1604,3291,893,716,85,188,888
03BNAQ    ,3451,1183,1565,187,106,9,744,209,211,2086,829,1264,281,27,47,153,12,34,3017,1143,1483,2931,1000,702,86,143,781
03BNAR    ,3744,1229,1690,129,50,5,1331,274,333,1727,865,1239,305,26,71,252,14,42,3186,1189,1577,3092,1047,801,94,142,776
03BNAS    ,2657,616,1213,131,28,6,428,53,106,1893,524,1049,143,10,37,62,1,15,2451,605,1162,2360,484,525,91,121,637
03BNAT    ,2594,781,1109,158,43,3,446,100,112,1808,617,957,139,14,27,43,7,10,2410,761,1071,2337,652,483,73,109,588
03BNAU    ,1814,584,789,83,18,6,247,59,86,1383,497,674,72,8,15,29,2,8,1713,573,766,1658,439,340,55,134,426
03BNAW    ,1668,640,526,112,29,10,248,54,54,1213,549,456,75,8,3,20,0,3,1573,632,520,1510,483,275,63,149,245
