zoneid,81sas100929,81sas100930,81sas100931,81sas100932,81sas100933,81sas100934,81sas100935,81sas100936,81sas100937,81sas100938,81sas100939,81sas100940,81sas100941,81sas100942,81sas100943,81sas100944,81sas100945,81sas100946,81sas100947,81sas100948,81sas100949,81sas100950,81sas100951,81sas100952,81sas100953,81sas100954,81sas100955,81sas100956,81sas100957,81sas100958,81sas100959,81sas100960,81sas100961,81sas100962,81sas100963,81sas100964,81sas100965,81sas100966,81sas100967,81sas100968,81sas100969,81sas100970,81sas100971,81sas100972,81sas100973,81sas100974,81sas100975,81sas100976,81sas100977,81sas100978,81sas100979,81sas100980,81sas100981,81sas100982,81sas100983,81sas100984,81sas100985,81sas100986,81sas100987,81sas100988,81sas100989,81sas100990,81sas100991,81sas100992,81sas100993,81sas100994,81sas100995,81sas100996,81sas100997,81sas100998,81sas100999,81sas101000,81sas101001,81sas101002,81sas101003,81sas101004,81sas101005,81sas101006,81sas101007,81sas101008,81sas101009,81sas101010,81sas101011,81sas101012,81sas101013,81sas101014,81sas101015,81sas101016,81sas101017,81sas101018,81sas101019,81sas101020,81sas101021,81sas101022,81sas101023,81sas101024,81sas101025,81sas101026,81sas101027,81sas101028,81sas101029,81sas101030,81sas101031,81sas101032,81sas101033,81sas101034,81sas101035,81sas101036,81sas101037,81sas101038,81sas101039,81sas101040,81sas101041,81sas101042,81sas101043,81sas101044,81sas101045,81sas101046,81sas101047,81sas101048,81sas101049,81sas101050,81sas101051,81sas101052,81sas101053,81sas101054,81sas101055,81sas101056,81sas101057,81sas101058,81sas101059,81sas101060,81sas101061,81sas101062,81sas101063,81sas101064,81sas101065,81sas101066,81sas101067,81sas101068,81sas101069,81sas101070,81sas101071,81sas101072,81sas101073,81sas101074,81sas101075,81sas101076,81sas101077,81sas101078,81sas101079,81sas101080,81sas101081,81sas101082,81sas101083,81sas101084,81sas101085,81sas101086,81sas101087,81sas101088,81sas101089,81sas101090,81sas101091,81sas101092,81sas101093,81sas101094,81sas101095,81sas101096,81sas101097,81sas101098,81sas101099,81sas101100,81sas101101,81sas101102,81sas101103,81sas101104,81sas101105,81sas101106,81sas101107,81sas101108,81sas101109,81sas101110,81sas101111,81sas101112,81sas101113,81sas101114,81sas101115,81sas101116,81sas101117,81sas101118,81sas101119,81sas101120,81sas101121,81sas101122,81sas101123,81sas101124,81sas101125,81sas101126,81sas101127,81sas101128,81sas101129,81sas101130,81sas101131,81sas101132,81sas101133,81sas101134,81sas101135,81sas101136,81sas101137,81sas101138,81sas101139,81sas101140,81sas101141,81sas101142,81sas101143,81sas101144,81sas101145,81sas101146,81sas101147,81sas101148
03BN      ,164009,151778,4935,5385,1911,2256,6951,4770,430431,407544,6851,12042,3994,4744,15286,6449,1909,7413,11050,44507,99126,225908,163953,151757,4935,5382,1879,2224,6916,4770,430309,407508,6851,12032,3918,4668,15200,6449,58963,55869,311,2214,569,683,2669,268,171123,163489,782,5433,1419,1689,6582,647,77291,76684,209,300,98,194,302,164,205656,204117,538,787,214,464,751,402,6437,5975,76,276,110,124,372,65,13244,12301,104,606,233,260,812,84,322,303,4,12,3,5,13,3,1019,964,15,32,8,12,36,11,1192,1146,25,14,7,12,16,26,3799,3711,35,35,18,28,43,36,10448,6668,327,2406,1047,1109,3391,319,20845,13557,485,4848,1955,2071,6687,466,9300,5112,3983,160,45,97,153,3925,14623,9369,4892,291,71,144,289,4803,1890,7409,10991,44492,442,2232,3310,13868,877,4531,5951,27349,56,169,238,890,8,24,43,124,9,64,47,367,65,247,329,1338,433,142,1073,556,99108,225877,22703,54246,57595,139509,4621,8807,61,150,387,1045,7454,13120,6287,9000,56,21,0,3,32,32,35,0,122,36,0,10,76,76,86,0,19,4,59,15,18,31
03BNAA    ,5846,5094,730,22,0,11,11,712,14786,13734,1003,43,6,28,27,961,108,174,506,1130,2583,4772,5845,5093,730,22,0,11,11,712,14785,13733,1003,43,6,28,27,961,3351,3292,51,8,0,4,4,45,10624,10455,140,23,6,15,20,116,113,108,5,0,0,0,0,5,345,336,9,0,0,0,0,9,532,516,14,2,0,1,1,11,887,868,17,2,0,1,1,12,9,9,0,0,0,0,0,0,29,29,0,0,0,0,0,0,47,45,2,0,0,0,0,2,146,142,4,0,0,0,0,4,513,460,51,2,0,1,1,49,833,759,69,5,0,3,2,63,1280,663,607,10,0,5,5,600,1921,1144,764,13,0,9,4,757,108,174,506,1130,32,124,290,929,2,5,17,37,4,9,18,40,0,0,0,0,0,2,0,9,3,8,6,27,67,26,175,88,2583,4772,971,2360,72,180,345,526,2,4,10,19,348,520,835,1163,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
03BNAB    ,5387,5106,156,76,49,59,115,148,14125,13607,218,200,100,130,270,201,94,383,578,2278,4321,10406,5387,5106,156,76,49,59,115,148,14125,13607,218,200,100,130,270,201,194,145,3,18,28,28,46,3,590,478,3,47,62,62,109,3,4679,4636,22,20,1,10,12,15,12473,12351,65,53,4,28,33,50,102,102,0,0,0,0,0,0,260,256,0,4,0,4,0,0,11,10,0,1,0,0,1,0,31,30,0,1,0,0,1,0,41,40,1,0,0,0,0,1,147,144,3,0,0,0,0,3,127,68,6,34,19,20,52,6,311,181,7,90,33,35,121,7,233,105,124,3,1,1,4,123,313,167,140,5,1,1,6,138,94,383,578,2278,7,15,51,94,69,351,459,2093,3,7,19,34,0,0,0,0,0,4,0,24,4,3,19,24,11,3,30,9,4321,10406,104,277,3819,9414,82,196,3,9,17,58,93,197,203,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BNAC    ,6585,6559,10,14,2,11,7,6,17310,17232,35,37,6,27,22,16,49,253,290,1526,3659,8335,6585,6559,10,14,2,11,7,6,17310,17232,35,37,6,27,22,16,1256,1253,1,1,1,1,2,1,3685,3679,2,2,2,2,4,2,4907,4887,9,10,1,9,3,5,12845,12783,33,25,4,23,10,14,317,316,0,1,0,1,0,0,527,525,0,2,0,2,0,0,4,4,0,0,0,0,0,0,13,13,0,0,0,0,0,0,30,29,0,1,0,0,1,0,97,94,0,3,0,0,3,0,54,53,0,1,0,0,1,0,98,93,0,5,0,0,5,0,17,17,0,0,0,0,0,0,45,45,0,0,0,0,0,0,49,253,290,1526,3,40,17,233,45,208,271,1269,1,4,2,19,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,3659,8335,225,536,3194,7432,192,288,0,0,5,14,37,53,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BNAD    ,5081,4561,437,54,29,48,64,427,12059,11369,533,99,58,88,127,516,81,165,313,1005,2869,5946,5081,4561,437,54,29,48,64,427,12059,11369,533,99,58,88,127,516,1229,1216,8,4,1,2,4,6,3147,3126,10,9,2,4,9,6,2432,2419,2,11,0,7,4,1,6631,6605,5,21,0,13,8,3,157,148,8,1,0,0,1,8,245,228,15,2,0,0,2,15,12,12,0,0,0,0,0,0,35,35,0,0,0,0,0,0,45,45,0,0,0,0,0,0,122,122,0,0,0,0,0,0,295,225,12,31,27,31,54,10,537,406,16,61,54,63,106,14,911,496,407,7,1,8,1,402,1342,847,487,6,2,8,2,478,81,165,313,1005,4,17,19,107,24,133,170,840,11,2,22,7,1,0,5,0,1,2,5,8,1,3,7,15,39,8,85,28,2869,5946,353,673,1678,4113,85,125,2,3,7,14,179,273,565,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BNAE    ,3287,3118,8,131,30,36,155,8,8286,7847,13,332,94,111,409,13,47,194,294,1140,2668,6220,3287,3118,8,131,30,36,155,8,8286,7847,13,332,94,111,409,13,181,110,0,65,6,8,69,0,541,322,0,182,37,43,213,0,2868,2850,5,11,2,3,12,5,7181,7140,10,28,3,6,28,10,98,84,0,6,8,8,14,0,192,167,0,8,17,17,25,0,11,10,0,1,0,0,1,0,35,34,0,1,0,0,1,0,39,35,3,1,0,1,0,3,120,115,3,2,0,2,0,3,81,24,0,43,14,16,55,0,198,57,0,104,37,43,135,0,9,5,0,4,0,0,4,0,19,12,0,7,0,0,7,0,47,194,294,1140,2,8,15,52,42,176,272,1032,3,2,7,10,0,0,0,0,0,3,0,19,0,5,0,27,0,0,0,0,2668,6220,111,295,2385,5563,85,157,3,7,18,55,59,129,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BNAF    ,5425,5376,11,33,5,12,31,9,13663,13565,26,64,8,24,56,23,36,206,246,1185,3403,7430,5422,5376,11,33,2,9,28,9,13659,13565,26,64,4,20,52,23,1676,1660,0,16,0,1,15,0,4655,4624,0,31,0,2,29,0,3310,3297,6,7,0,4,3,4,8122,8087,15,20,0,12,8,12,208,208,0,0,0,0,0,0,384,384,0,0,0,0,0,0,5,4,0,1,0,1,0,0,9,8,0,1,0,1,0,0,35,34,1,0,0,0,0,1,124,122,2,0,0,0,0,2,168,156,1,9,2,3,10,1,322,301,6,11,4,5,14,6,20,17,3,0,0,0,0,3,43,39,3,1,0,0,1,3,36,206,246,1185,3,43,15,249,30,153,211,888,1,3,5,11,0,0,0,0,0,3,0,18,2,2,15,13,0,2,0,6,3402,7429,663,1522,2481,5484,119,202,1,2,7,18,117,176,14,25,3,0,0,0,3,3,3,0,4,0,0,0,4,4,4,0,0,0,0,0,1,1
03BNAG    ,6111,5008,44,769,290,308,1041,42,16387,13989,65,1719,614,652,2295,57,52,323,366,1884,4180,9932,6111,5008,44,769,290,308,1041,42,16387,13989,65,1719,614,652,2295,57,2469,1980,4,376,109,120,474,4,6991,5786,9,897,299,324,1171,9,2541,2491,5,22,23,25,43,4,7060,6950,15,61,34,38,91,11,297,239,0,49,9,9,58,0,638,514,3,107,14,14,121,0,23,21,0,1,1,1,2,0,71,61,0,6,4,4,10,0,36,35,0,1,0,0,1,0,137,135,0,2,0,0,2,0,663,204,8,305,146,151,446,8,1354,465,10,619,260,269,870,10,82,38,27,15,2,2,17,26,136,78,28,27,3,3,30,27,52,323,366,1884,20,124,140,700,25,167,186,999,2,3,12,23,2,1,11,6,1,0,6,5,2,27,11,147,0,1,0,4,4180,9932,1410,3531,1905,4785,252,500,5,12,8,26,528,968,72,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BNAH    ,5869,5852,10,6,1,5,3,6,15440,15405,17,14,4,16,6,9,24,196,156,1171,3049,6706,5869,5852,10,6,1,5,3,6,15440,15405,17,14,4,16,6,9,1468,1465,1,2,0,0,2,0,4276,4270,4,2,0,0,2,0,4213,4208,2,3,0,3,0,1,10699,10684,4,11,0,11,0,3,82,82,0,0,0,0,0,0,173,173,0,0,0,0,0,0,6,6,0,0,0,0,0,0,19,17,0,0,2,2,2,0,35,35,0,0,0,0,0,0,132,132,0,0,0,0,0,0,29,27,0,1,1,2,1,0,65,62,0,1,2,3,2,0,36,29,7,0,0,0,0,5,76,67,9,0,0,0,0,6,24,196,156,1171,1,13,8,70,21,175,143,1061,0,3,0,13,0,0,0,0,0,3,0,21,0,2,0,6,2,0,5,0,3049,6706,185,377,2790,6173,45,97,1,1,5,23,11,22,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BNAJ    ,5372,5312,28,23,9,11,30,27,14518,14415,45,39,19,22,55,45,38,207,285,1305,2809,6331,5371,5311,28,23,9,11,30,27,14516,14413,45,39,19,22,55,45,2317,2305,0,9,3,3,12,0,6655,6629,3,19,4,4,23,3,2448,2442,2,4,0,1,3,3,6538,6524,5,9,0,3,6,8,220,218,1,1,0,0,1,0,444,442,1,1,0,0,1,0,10,10,0,0,0,0,0,0,46,46,0,0,0,0,0,0,25,25,0,0,0,0,0,0,91,91,0,0,0,0,0,0,249,231,4,8,6,6,14,3,536,505,6,10,15,15,25,4,102,80,21,1,0,1,0,21,206,176,30,0,0,0,0,30,38,207,285,1305,10,85,76,540,26,112,197,707,1,3,8,15,0,3,0,19,0,1,0,6,1,2,4,15,0,1,0,3,2808,6329,729,1570,1723,4141,141,224,2,9,9,31,146,260,58,94,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,2
