zoneid,81sas020050,81sas020051,81sas020052,81sas020053,81sas020054,81sas020055,81sas020056,81sas020057,81sas020058,81sas020059,81sas020060,81sas020061,81sas020062,81sas020063,81sas020064,81sas020065,81sas020066,81sas020067,81sas020068,81sas020069,81sas020070,81sas020071,81sas020072,81sas020073,81sas020074,81sas020075,81sas020076,81sas020077,81sas020078,81sas020079,81sas020080,81sas020081,81sas020082,81sas020083,81sas020084,81sas020085,81sas020086,81sas020087,81sas020088,81sas020089,81sas020090,81sas020091,81sas020092,81sas020093,81sas020094,81sas020095,81sas020096,81sas020097,81sas020098,81sas020099,81sas020100,81sas020101,81sas020102,81sas020103,81sas020104,81sas020105,81sas020106,81sas020107,81sas020108,81sas020109,81sas020110,81sas020111,81sas020112,81sas020113,81sas020114,81sas020115,81sas020116,81sas020117,81sas020118,81sas020119,81sas020120,81sas020121,81sas020122,81sas020123,81sas020124,81sas020125,81sas020126,81sas020127,81sas020128,81sas020129,81sas020130,81sas020131,81sas020132,81sas020133,81sas020134,81sas020135,81sas020136,81sas020137,81sas020138,81sas020139,81sas020140,81sas020141,81sas020142,81sas020143,81sas020144,81sas020145,81sas020146,81sas020147,81sas020148,81sas020149,81sas020150,81sas020151,81sas020152,81sas020153,81sas020154,81sas020155,81sas020156,81sas020157,81sas020158,81sas020159,81sas020160,81sas020161,81sas020162,81sas020163,81sas020164,81sas020165,81sas020166,81sas020167,81sas020168,81sas020169,81sas020170,81sas020171,81sas020172,81sas020173,81sas020174,81sas020175,81sas020176,81sas020177,81sas020178,81sas020179,81sas020180,81sas020181,81sas020182,81sas020183,81sas020184,81sas020185,81sas020186,81sas020187,81sas020188,81sas020189,81sas020190,81sas020191,81sas020192,81sas020193,81sas020194,81sas020195,81sas020196,81sas020197,81sas020198,81sas020199,81sas020200,81sas020201,81sas020202,81sas020203,81sas020204,81sas020205,81sas020206,81sas020207,81sas020208,81sas020209
01AA      ,4701,2418,1374,1044,2283,1351,932,111,47,47,0,64,64,0,101,47,47,0,54,54,0,97,49,49,0,48,48,0,23,10,10,0,13,13,0,307,108,108,0,199,197,2,624,264,251,13,360,319,41,413,215,165,50,198,120,78,447,239,136,103,208,108,100,328,181,91,90,147,49,98,273,153,62,91,120,48,72,323,162,79,83,161,48,113,421,258,92,166,163,53,110,446,260,82,178,186,52,134,316,201,59,142,115,37,78,179,90,45,45,89,38,51,139,77,25,52,62,32,30,86,41,17,24,45,32,13,46,13,7,6,33,23,10,21,3,2,1,18,16,2,133,0,0,0,0,0,0,0,0,0,0,0,2,7,8,31,39,34,10,2
01AB      ,161098,75310,45369,29941,85788,55773,30015,7488,3792,3792,0,3696,3696,0,6373,3318,3318,0,3055,3055,0,7557,3905,3905,0,3652,3652,0,1782,922,922,0,860,860,0,9037,4166,4111,55,4871,4709,162,17221,7733,6801,932,9488,7714,1774,16138,7828,5299,2529,8310,5103,3207,14184,6957,3593,3364,7227,3531,3696,10229,5031,2146,2885,5198,2217,2981,8826,4379,1680,2699,4447,1702,2745,8459,4185,1575,2610,4274,1639,2635,8998,4515,1575,2940,4483,1734,2749,9376,4574,1547,3027,4802,1903,2899,8657,3974,1292,2682,4683,2207,2476,8581,3837,1279,2558,4744,2665,2079,7511,3055,1111,1944,4456,2973,1483,5284,1871,769,1102,3413,2704,709,3250,824,394,430,2426,2104,322,2147,444,260,184,1703,1605,98,7779,0,0,0,0,0,0,0,0,8,14,15,33,81,312,2406,2271,1535,716,388
01AC      ,179529,86627,51545,35082,92902,57224,35678,12347,6369,6369,0,5978,5978,0,11252,5795,5795,0,5457,5457,0,13463,6844,6844,0,6619,6619,0,2855,1446,1446,0,1409,1409,0,12751,6369,6264,105,6382,5975,407,17600,8495,6946,1549,9105,6323,2782,14945,7484,4189,3295,7461,3518,3943,12530,6247,2478,3769,6283,2275,4008,9242,4517,1516,3001,4725,1537,3188,9140,4568,1332,3236,4572,1376,3196,9152,4537,1245,3292,4615,1298,3317,9818,4885,1358,3527,4933,1415,3518,9937,4886,1259,3627,5051,1617,3434,8757,4229,1131,3098,4528,1829,2699,8446,3879,1125,2754,4567,2294,2273,7471,3071,955,2116,4400,2737,1663,5174,1874,709,1165,3300,2448,852,2923,811,375,436,2112,1808,304,1726,321,209,112,1405,1311,94,8329,0,0,0,0,0,0,0,0,3,6,6,27,52,260,2722,2548,1662,745,298
01AD      ,144616,68782,41363,27419,75834,48096,27738,7274,3681,3681,0,3593,3593,0,6561,3266,3266,0,3295,3295,0,8001,3996,3996,0,4005,4005,0,1815,881,881,0,934,934,0,8621,4172,4123,49,4449,4270,179,15547,7256,6363,893,8291,6617,1674,14393,7218,4826,2392,7175,4081,3094,12271,6324,3157,3167,5947,2632,3315,8858,4446,1803,2643,4412,1720,2692,7774,3886,1386,2500,3888,1391,2497,7356,3768,1288,2480,3588,1212,2376,7527,3690,1256,2434,3837,1335,2502,8003,3908,1227,2681,4095,1506,2589,7497,3450,995,2455,4047,1739,2308,7728,3348,1047,2301,4380,2313,2067,6550,2714,853,1861,3836,2448,1388,4577,1707,661,1046,2870,2189,681,2577,716,332,384,1861,1570,291,1686,355,222,133,1331,1246,85,7549,0,0,0,0,0,0,0,0,4,5,12,26,63,306,2404,2263,1496,651,319
01AE      ,202650,97987,55641,42346,104663,61825,42838,11733,6028,6028,0,5705,5705,0,11082,5777,5777,0,5305,5305,0,14256,7173,7173,0,7083,7083,0,3206,1630,1630,0,1576,1576,0,13838,6963,6871,92,6875,6533,342,20563,10103,8598,1505,10460,7552,2908,17858,9088,5305,3783,8770,4014,4756,15922,7954,3074,4880,7968,2592,5376,12376,6001,1705,4296,6375,1734,4641,11897,5897,1437,4460,6000,1453,4547,11151,5657,1250,4407,5494,1378,4116,10782,5408,1252,4156,5374,1467,3907,10620,5235,1249,3986,5385,1716,3669,9221,4439,960,3479,4782,1894,2888,9082,4035,1016,3019,5047,2573,2474,7804,3209,937,2272,4595,2811,1784,5688,1971,669,1302,3717,2767,950,3349,970,425,545,2379,1999,380,2222,449,285,164,1773,1673,100,9221,0,0,0,0,0,0,0,0,4,10,14,36,81,328,2957,2691,1781,901,418
01AF      ,157522,75893,44676,31217,81629,49970,31659,8958,4542,4542,0,4416,4416,0,7995,4040,4040,0,3955,3955,0,10113,5229,5229,0,4884,4884,0,2212,1120,1120,0,1092,1092,0,9864,4994,4916,78,4870,4564,306,15793,7665,6371,1294,8128,5978,2150,14307,7154,4461,2693,7153,3830,3323,12401,6228,2798,3430,6173,2537,3636,9384,4623,1670,2953,4761,1603,3158,8524,4256,1323,2933,4268,1309,2959,8328,4155,1236,2919,4173,1203,2970,9113,4472,1323,3149,4641,1382,3259,9450,4686,1340,3346,4764,1662,3102,8083,3911,1107,2804,4172,1741,2431,7828,3566,1084,2482,4262,2240,2022,6463,2692,956,1736,3771,2456,1315,4541,1578,616,962,2963,2278,685,2614,709,368,341,1905,1641,264,1551,273,176,97,1278,1199,79,7448,0,0,0,0,0,0,0,0,4,7,8,18,58,263,2527,2257,1403,655,248
01AG      ,125892,57677,36178,21499,68215,46585,21630,5410,2692,2692,0,2718,2718,0,4875,2405,2405,0,2470,2470,0,5287,2628,2628,0,2659,2659,0,1217,616,616,0,601,601,0,7101,3256,3217,39,3845,3719,126,15949,6731,6135,596,9218,7917,1301,14051,6631,4817,1814,7420,4832,2588,12285,5988,3198,2790,6297,3195,3102,8933,4508,1969,2539,4425,1962,2463,7439,3722,1453,2269,3717,1522,2195,6606,3333,1273,2060,3273,1359,1914,6559,3154,1192,1962,3405,1495,1910,6408,3032,1065,1967,3376,1611,1765,5894,2580,865,1715,3314,1782,1532,5599,2445,897,1548,3154,1952,1202,4830,1885,738,1147,2945,2121,824,3719,1203,543,660,2516,2056,460,2235,580,289,291,1655,1475,180,1495,288,186,102,1207,1139,68,4995,0,0,0,0,0,0,0,0,12,14,23,54,110,294,1391,1364,989,484,260
01AH      ,244143,117342,70378,46964,126801,79157,47644,13893,7002,7002,0,6891,6891,0,12950,6595,6595,0,6355,6355,0,16862,8426,8426,0,8436,8436,0,3893,2016,2016,0,1877,1877,0,17064,8287,8181,106,8777,8386,391,26185,12800,11037,1763,13385,10221,3164,21916,11191,7180,4011,10725,5785,4940,17726,9041,4097,4944,8685,3353,5332,13263,6578,2307,4271,6685,2192,4493,13028,6349,1949,4400,6679,2032,4647,12630,6295,1837,4458,6335,1815,4520,13570,6636,1876,4760,6934,2134,4800,14088,6873,1805,5068,7215,2417,4798,12490,5994,1550,4444,6496,2665,3831,11714,5309,1504,3805,6405,3313,3092,9536,3936,1281,2655,5600,3588,2012,6698,2385,904,1481,4313,3262,1051,3938,1112,515,597,2826,2412,414,2699,517,316,201,2182,2023,159,11322,0,0,0,0,0,0,0,0,5,5,12,19,101,442,3772,3294,2150,1034,488
01AJ      ,230488,110100,58866,51234,120388,68276,52112,12775,6534,6534,0,6241,6241,0,12562,6334,6334,0,6228,6228,0,17081,8660,8660,0,8421,8421,0,3765,1906,1906,0,1859,1859,0,16431,8197,8097,100,8234,7793,441,20772,10138,8165,1973,10634,7185,3449,17324,8790,4527,4263,8534,3511,5023,15860,7916,2643,5273,7944,2196,5748,12735,6256,1562,4694,6479,1510,4969,12577,6135,1412,4723,6442,1489,4953,12147,5973,1270,4703,6174,1321,4853,13340,6447,1273,5174,6893,1553,5340,14182,6811,1354,5457,7371,2126,5245,12700,6060,1194,4866,6640,2392,4248,12161,5482,1172,4310,6679,3125,3554,10052,4243,1112,3131,5809,3473,2336,7189,2570,858,1712,4619,3313,1306,4086,1115,490,625,2971,2507,464,2749,533,303,230,2216,2033,183,12386,0,0,0,0,0,0,0,0,4,6,10,29,86,470,4160,3687,2365,1055,514
01AK      ,209128,102419,54418,48001,106709,58760,47949,14883,7647,7647,0,7236,7236,0,13660,6979,6979,0,6681,6681,0,16308,8468,8468,0,7840,7840,0,3510,1781,1781,0,1729,1729,0,14423,7253,7114,139,7170,6554,616,19296,9543,6924,2619,9753,5312,4441,17086,8693,3435,5258,8393,2478,5915,14610,7483,1941,5542,7127,1574,5553,11111,5450,1156,4294,5661,1060,4601,11246,5708,1069,4639,5538,1072,4466,10808,5514,1061,4453,5294,1080,4214,11211,5678,1162,4516,5533,1293,4240,12035,5969,1273,4696,6066,1694,4372,10457,4967,1002,3965,5490,1962,3528,9865,4525,1042,3483,5340,2575,2765,8075,3431,1007,2424,4644,2764,1880,5668,2124,736,1388,3544,2634,910,3087,873,404,469,2214,1864,350,1789,333,217,116,1456,1358,98,10302,0,0,0,0,0,0,0,0,6,4,9,21,66,355,3639,3079,1977,825,321
