zoneid,81sas100929,81sas100930,81sas100931,81sas100932,81sas100933,81sas100934,81sas100935,81sas100936,81sas100937,81sas100938,81sas100939,81sas100940,81sas100941,81sas100942,81sas100943,81sas100944,81sas100945,81sas100946,81sas100947,81sas100948,81sas100949,81sas100950,81sas100951,81sas100952,81sas100953,81sas100954,81sas100955,81sas100956,81sas100957,81sas100958,81sas100959,81sas100960,81sas100961,81sas100962,81sas100963,81sas100964,81sas100965,81sas100966,81sas100967,81sas100968,81sas100969,81sas100970,81sas100971,81sas100972,81sas100973,81sas100974,81sas100975,81sas100976,81sas100977,81sas100978,81sas100979,81sas100980,81sas100981,81sas100982,81sas100983,81sas100984,81sas100985,81sas100986,81sas100987,81sas100988,81sas100989,81sas100990,81sas100991,81sas100992,81sas100993,81sas100994,81sas100995,81sas100996,81sas100997,81sas100998,81sas100999,81sas101000,81sas101001,81sas101002,81sas101003,81sas101004,81sas101005,81sas101006,81sas101007,81sas101008,81sas101009,81sas101010,81sas101011,81sas101012,81sas101013,81sas101014,81sas101015,81sas101016,81sas101017,81sas101018,81sas101019,81sas101020,81sas101021,81sas101022,81sas101023,81sas101024,81sas101025,81sas101026,81sas101027,81sas101028,81sas101029,81sas101030,81sas101031,81sas101032,81sas101033,81sas101034,81sas101035,81sas101036,81sas101037,81sas101038,81sas101039,81sas101040,81sas101041,81sas101042,81sas101043,81sas101044,81sas101045,81sas101046,81sas101047,81sas101048,81sas101049,81sas101050,81sas101051,81sas101052,81sas101053,81sas101054,81sas101055,81sas101056,81sas101057,81sas101058,81sas101059,81sas101060,81sas101061,81sas101062,81sas101063,81sas101064,81sas101065,81sas101066,81sas101067,81sas101068,81sas101069,81sas101070,81sas101071,81sas101072,81sas101073,81sas101074,81sas101075,81sas101076,81sas101077,81sas101078,81sas101079,81sas101080,81sas101081,81sas101082,81sas101083,81sas101084,81sas101085,81sas101086,81sas101087,81sas101088,81sas101089,81sas101090,81sas101091,81sas101092,81sas101093,81sas101094,81sas101095,81sas101096,81sas101097,81sas101098,81sas101099,81sas101100,81sas101101,81sas101102,81sas101103,81sas101104,81sas101105,81sas101106,81sas101107,81sas101108,81sas101109,81sas101110,81sas101111,81sas101112,81sas101113,81sas101114,81sas101115,81sas101116,81sas101117,81sas101118,81sas101119,81sas101120,81sas101121,81sas101122,81sas101123,81sas101124,81sas101125,81sas101126,81sas101127,81sas101128,81sas101129,81sas101130,81sas101131,81sas101132,81sas101133,81sas101134,81sas101135,81sas101136,81sas101137,81sas101138,81sas101139,81sas101140,81sas101141,81sas101142,81sas101143,81sas101144,81sas101145,81sas101146,81sas101147,81sas101148
01        ,964934,860901,61117,28192,14724,31257,26383,56650,2359319,2175084,98787,58356,27092,58229,54311,89376,20773,47264,91270,244282,565946,1180000,964217,860304,61108,28124,14681,31201,26285,56641,2357417,2173576,98768,58126,26947,58050,53970,89355,263350,246597,7451,6628,2674,4883,7093,5732,727232,687264,18008,16521,5439,10605,16794,13990,412708,403595,3638,4276,1199,3778,2896,2487,1051603,1032357,6332,10227,2687,8196,7405,4485,64857,59576,2844,1747,690,1971,1156,2617,143847,135308,3978,3267,1294,3602,2253,3557,1868,1770,43,46,9,38,26,43,5912,5650,115,133,14,103,58,114,14547,13621,688,192,46,140,144,647,39192,37531,1155,415,91,280,317,1063,113056,79681,11336,12710,9329,18120,13248,10892,219182,160576,19339,23072,16195,31453,24009,18163,93831,55464,35108,2525,734,2271,1722,34223,170449,114890,49841,4491,1227,3811,3134,47983,20672,47191,90786,243972,2686,8650,17260,51909,7266,28399,40792,147892,837,3219,3551,15234,55,108,279,544,337,655,1210,3167,1668,2969,6756,12950,7823,3191,20938,12276,565495,1178903,90629,202484,285496,647852,45391,87933,455,1201,6351,14585,73418,121542,63755,103306,717,597,9,68,43,56,98,9,1902,1508,19,230,145,179,341,21,101,73,484,310,451,1097
02        ,1542722,1470168,36706,21821,14027,21942,27933,31123,4133323,4003745,58517,46398,24663,38875,56849,49636,13155,51138,71845,283092,555456,1114599,1541057,1469251,36691,21564,13551,21424,27242,31113,4129314,4001740,58496,45714,23364,37499,54943,49623,954209,936653,5553,8589,3414,5298,10119,4426,2690361,2650311,14031,19767,6252,10194,22077,11370,357288,349007,4272,3314,695,1777,2927,1805,954391,938158,5768,8790,1675,3762,8378,2914,37573,35062,1690,508,313,586,548,1223,83580,80049,2016,955,560,1017,1058,1488,2026,1955,25,36,10,25,31,21,6404,6219,63,96,26,61,87,48,17988,17474,376,111,27,74,91,341,54906,53911,660,277,58,169,224,590,105821,83558,5630,7987,8646,12750,12529,4892,205403,167874,9339,14063,14127,20912,21405,7980,66152,45542,19145,1019,446,914,997,18405,134269,105218,26619,1766,666,1384,1714,25233,12845,51024,70489,282636,4897,23445,34970,137084,3274,21017,19392,115312,422,1692,1842,7975,65,117,357,581,186,661,857,3417,767,2017,3381,9191,3234,2075,9690,9076,554832,1113343,227710,454175,203413,449690,21759,39255,270,710,4543,11644,63277,100879,33860,56990,1665,917,15,257,476,518,691,10,4009,2005,21,684,1299,1376,1906,13,310,114,1356,456,624,1256
03        ,944245,897794,11039,20349,15063,17243,33232,9835,2552650,2460800,15432,47295,29123,33528,72013,13492,6046,31473,38981,186601,445729,980779,943600,897529,11039,20292,14740,16901,32871,9834,2550955,2460226,15432,47146,28151,32515,70933,13490,538563,519878,918,10879,6888,7885,16770,736,1554530,1511415,2453,26187,14475,16731,38406,1913,311330,306223,1812,2751,544,949,2890,1048,809215,797581,2577,7815,1242,2127,8172,1559,20848,19814,298,419,317,363,690,185,41969,40072,363,943,591,683,1442,234,2166,2071,18,55,22,28,71,15,7172,6910,62,147,53,65,188,51,5301,5131,74,66,30,45,81,76,16763,16386,127,171,79,106,223,127,44113,31231,693,5623,6566,7078,11677,665,85990,62909,1048,10969,11064,11911,21186,986,21279,13181,7226,499,373,553,692,7109,35316,24953,8802,914,647,892,1316,8620,5859,31426,38172,186417,2125,13331,16101,79111,2557,16137,18041,97126,97,438,441,2383,28,93,172,507,41,232,232,1315,214,845,1081,4434,797,350,2104,1541,445452,980079,159034,351823,226022,526016,14679,26530,290,741,1350,3673,30644,51504,13433,19792,645,265,0,57,323,342,361,1,1695,574,0,149,972,1013,1080,2,187,47,809,184,277,700
04        ,528864,501283,7064,9941,10576,12171,18922,6312,1485283,1428722,10211,24575,21775,25234,42891,8933,3115,19645,20062,116887,264995,637623,528620,501101,7064,9932,10523,12111,18867,6311,1484768,1428376,10211,24557,21624,25068,42737,8932,275218,268137,752,2732,3597,4217,5709,630,817390,800470,1837,6657,8426,9950,13559,1510,174402,169585,735,3765,317,697,3702,425,504902,491674,1233,11331,664,1562,11097,751,17559,16461,409,154,535,589,635,254,38440,36632,475,296,1037,1139,1231,291,750,726,7,4,13,15,15,6,2432,2370,24,14,24,31,31,22,3818,3703,72,24,19,27,35,68,12127,11883,138,62,44,53,97,127,46165,35703,1594,3025,5843,6245,8466,1486,92410,73115,2335,5845,11115,11854,16221,2155,10708,6786,3495,228,199,321,305,3442,17067,12232,4169,352,314,479,501,4076,3092,19634,19953,116845,493,5281,3205,31648,1969,12700,14324,76522,100,489,502,2717,12,34,73,178,24,149,120,818,203,826,949,4300,291,155,780,662,264927,637496,80359,189389,129714,348653,13536,27393,116,316,1141,3180,32812,58347,7249,10218,244,182,0,9,53,60,55,1,515,346,0,18,151,166,154,1,23,11,109,42,68,127
05        ,475728,456006,3991,9377,6354,7058,15027,3067,1282018,1240844,5428,23261,12485,13925,34306,4257,2022,13916,13202,82833,235943,534239,474977,455730,3985,9269,5993,6661,14594,3064,1280182,1240276,5420,23004,11482,12847,33121,4249,223344,218338,287,2743,1976,2206,4489,237,644539,633006,774,6552,4207,4726,10240,630,203355,198123,1085,3874,273,499,3921,324,527653,514721,1365,10860,707,1231,11043,500,5098,4741,185,107,65,115,122,132,10351,9854,192,188,117,175,247,136,1092,1040,8,32,12,14,42,7,3518,3360,30,97,31,39,120,25,5602,5371,52,147,32,40,171,51,18389,17786,72,444,87,105,513,71,28188,22453,168,2142,3425,3545,5447,152,60876,50240,274,4419,5943,6128,10177,233,8298,5664,2200,224,210,242,402,2161,14856,11309,2713,444,390,443,781,2654,1841,13874,12394,82680,488,4172,3670,24786,1004,8569,7315,51444,21,110,112,610,6,35,37,198,31,293,202,1706,83,587,517,3437,208,108,541,499,235593,533592,65624,153551,139466,321072,3584,6636,116,318,2166,6873,19342,36527,5295,8615,751,276,6,108,361,397,433,3,1836,568,8,257,1003,1078,1185,8,181,42,808,153,350,647
06        ,423624,412655,2228,4359,4382,5104,8019,1936,1126109,1104721,3372,9312,8704,10246,16474,2804,2452,16190,14923,88148,239229,551805,423404,412581,2228,4324,4271,4983,7883,1936,1125510,1104521,3372,9210,8407,9929,16095,2804,163787,160483,225,1850,1229,1429,2879,185,457029,450175,534,3897,2423,2884,5859,419,207385,206383,341,525,136,371,426,138,557119,554857,699,1272,291,887,967,354,12935,12385,208,194,148,191,299,190,29061,28105,235,409,312,381,652,211,447,434,1,7,5,6,11,1,1387,1360,2,17,8,9,24,2,3765,3408,24,119,214,224,323,17,11964,10949,50,370,595,617,943,30,27245,23305,193,1416,2331,2491,3587,176,54138,46585,322,2838,4393,4672,6952,288,7840,6183,1236,213,208,271,358,1229,14812,12490,1530,407,385,479,698,1500,2397,16166,14702,88055,379,2843,2373,15308,1614,11580,10340,64390,88,532,528,2775,6,22,28,114,46,257,262,1334,146,768,744,3441,118,164,427,693,239147,551614,50902,110697,151552,371167,9933,20235,57,150,1409,4140,20263,36400,5031,8825,220,74,0,35,111,121,136,0,599,200,0,102,297,317,379,0,55,24,221,93,82,191
07        ,936292,893527,8828,26347,7590,10228,31299,7652,2604414,2502354,14475,71685,15900,22871,80614,12398,9283,39130,68052,237386,414922,962827,935489,893050,8826,26279,7334,9942,31005,7647,2602458,2501260,14473,71518,15207,22120,79812,12392,503109,491805,1102,6973,3229,4544,8887,922,1502627,1470361,4059,20240,7967,12078,24096,3393,343703,325593,1401,16161,548,1120,16137,720,911284,862456,2317,45172,1339,2771,45079,1375,23631,22738,450,329,114,162,395,331,53758,52228,546,777,207,328,863,386,1416,1373,7,27,9,17,28,6,4680,4575,16,67,22,43,68,15,7278,7037,170,55,16,26,61,163,21958,21517,230,165,46,76,181,214,38611,32543,597,2318,3153,3633,4991,555,76861,66350,1002,4327,5182,6082,8609,912,17741,11961,5099,416,265,440,506,4950,31290,23773,6303,770,444,742,916,6097,9129,39093,67392,237230,4714,18312,38768,114778,3342,18764,24209,111742,192,700,1014,3790,24,90,143,480,43,312,236,1690,211,594,1073,3197,603,321,1949,1553,414609,962202,133488,326198,229985,543628,14349,29601,148,401,1719,4388,23857,40407,11063,17579,803,477,2,68,256,286,294,5,1956,1094,2,167,693,751,802,6,154,37,660,156,313,625
08        ,747058,721769,7665,9630,7994,10921,14697,6669,2000305,1951233,11008,22921,15143,20164,33043,9574,6133,24849,40981,145965,354451,782996,746263,721391,7658,9568,7646,10545,14315,6665,1998408,1950410,10992,22778,14228,19194,32040,9564,440555,431941,734,4491,3389,4845,6424,629,1266136,1246349,2233,10571,6983,9617,14920,1886,228071,224125,1231,2408,307,781,2241,450,572780,563423,1602,7118,637,1462,6930,689,13622,13310,102,108,102,140,172,93,26082,25529,127,250,176,241,361,114,1926,1867,6,30,23,29,47,5,6424,6238,16,99,71,90,151,12,6370,6218,55,66,31,46,82,49,19978,19650,93,174,61,95,201,76,39248,33207,430,2122,3489,4243,4857,422,78680,68343,651,3923,5763,6939,8510,639,16471,10723,5100,343,305,461,492,5017,28328,20878,6270,643,537,750,967,6148,5974,24801,40312,145788,3308,12184,25459,72346,1673,10736,11006,63904,53,290,256,1491,10,83,62,468,40,266,250,1496,256,965,1376,4810,634,277,1903,1273,354140,782396,135243,310043,169790,386463,9679,16770,159,405,1921,5499,26510,46016,10838,17200,795,378,7,62,348,376,382,4,1897,823,16,143,915,970,1003,10,159,48,669,177,311,600
09        ,333792,321726,5784,3648,2634,3959,4957,5213,887027,866961,8148,7532,4386,6714,9590,7206,1185,6277,5603,36047,109435,209950,332152,320372,5778,3537,2465,3749,4718,5207,883788,864362,8130,7317,3979,6234,9041,7190,209032,204734,758,1988,1552,2245,2847,611,585165,577053,1630,3952,2530,3755,5257,1314,83852,82810,359,619,64,186,561,271,220114,217678,536,1773,127,444,1583,400,6921,6504,346,55,16,41,46,194,13692,13138,405,121,28,70,107,234,1008,985,11,8,4,6,10,10,3354,3291,32,24,7,13,25,26,3447,3383,33,23,8,16,23,32,10383,10261,56,47,19,32,53,53,15302,13093,779,678,752,1109,1073,693,29317,25812,1176,1159,1170,1720,1779,1035,12590,8863,3492,166,69,146,158,3396,21763,17129,4295,241,98,200,237,4128,1101,6219,5292,35820,271,2418,1716,14283,359,3207,2331,18765,32,130,113,679,4,23,19,130,9,83,31,448,68,201,251,894,358,157,831,621,108838,209014,42798,78824,46788,100447,4154,6634,63,149,642,1514,8087,12289,6306,9157,1640,1354,6,111,169,210,239,6,3239,2599,18,215,407,480,549,16,84,58,311,227,597,936
10        ,174198,168028,2017,1918,2235,2805,3583,1750,497154,485861,3304,4220,3769,4895,6863,2822,1235,4798,7709,28805,52748,115396,172662,166767,2011,1797,2087,2595,3376,1743,494001,483330,3288,3920,3463,4428,6418,2808,112728,110943,239,802,744,976,1314,198,337347,333604,742,1765,1236,1683,2554,614,39629,39044,235,281,69,147,272,100,110659,109275,365,812,207,379,847,168,3203,3096,69,28,10,28,20,34,6934,6790,77,44,23,47,43,37,683,668,5,5,5,7,8,5,2230,2200,13,11,6,10,13,13,3129,3067,31,17,14,16,29,24,9724,9605,50,40,29,32,66,33,8326,6464,134,565,1163,1305,1586,122,17468,14329,245,1064,1830,2091,2633,221,4964,3485,1298,99,82,116,147,1260,9639,7527,1796,184,132,186,262,1722,1126,4748,7272,28613,580,2618,4456,16025,269,1724,1830,10472,14,57,55,307,5,29,29,153,18,96,97,544,40,112,169,587,200,112,636,525,52250,114576,21468,47865,21461,50507,1823,3286,40,94,506,1343,4397,7230,2555,4251,1536,1261,6,121,148,210,207,7,3153,2531,16,300,306,467,445,14,109,50,437,192,498,820
